,Accuracy,Precision(Macro),Recall(Macro),F1(Macro)
knn,0.9203507489952503,0.9328078765174966,0.9261302819682954,0.9292694861536265
logistic_regression,0.9214468396054074,0.9339493939183808,0.9291902594831104,0.9312421709626356
svm,0.9309462915601023,0.9416404032736286,0.9364346942087681,0.9389812073091297
ann,0.9294848374132262,0.9386217718700024,0.9363497051421871,0.9373296358140802
xgboost,0.9316770186335404,0.9424497091281647,0.9408467531508359,0.9416315528484647
