,knn,logistic_regression,svm,ann,xgboost
Gaussian Noise,"{0.01: 0.9210814760686884, 0.05: 0.9210814760686884, 0.1: 0.9199853854585313}","{0.01: 0.9214468396054074, 0.05: 0.9225429302155644, 0.1: 0.9188892948483741}","{0.01: 0.9309462915601023, 0.05: 0.9294848374132262, 0.1: 0.92802338326635}","{0.01: 0.928754110339788, 0.05: 0.92802338326635, 0.1: 0.9229082937522836}","{0.01: 0.9320423821702594, 0.05: 0.9261965655827549, 0.1: 0.91669711362806}"
Label Noise,"{0.05: 0.8754110339788089, 0.1: 0.8344903178662769, 0.2: 0.7340153452685422}","{0.05: 0.8765071245889661, 0.1: 0.8341249543295579, 0.2: 0.7394957983193278}","{0.05: 0.8845451223967848, 0.1: 0.8428936792108147, 0.2: 0.7446108878333942}","{0.05: 0.8834490317866277, 0.1: 0.8410668615272195, 0.2: 0.7427840701497991}","{0.05: 0.8856412130069419, 0.1: 0.8436244062842528, 0.2: 0.7435147972232371}"
Missing Values,"{0.05: 0.9119473876507125, 0.1: 0.8936792108147606}","{0.05: 0.8947753014249178, 0.1: 0.8713920350748995}","{0.05: 0.917062477164779, 0.1: 0.907928388746803}","{0.05: 0.8998903909389843, 0.1: 0.8717573986116186}","{0.05: 0.907563025210084, 0.1: 0.8801607599561564}"
